key,value
ISO3,AUS
HDR Country Name,Australia
Human Development Groups,Very High
UNDP Developeing Regions,
"Life Expectancy at Birth, female (years) (2006)",83.574
"Life Expectancy at Birth, female (years) (2007)",83.531
"Life Expectancy at Birth, female (years) (2008)",83.695
"Life Expectancy at Birth, female (years) (2009)",83.994
"Life Expectancy at Birth, female (years) (2010)",84.195
"Life Expectancy at Birth, female (years) (2011)",84.252
"Life Expectancy at Birth, female (years) (2012)",84.299
"Life Expectancy at Birth, female (years) (2013)",84.621
"Life Expectancy at Birth, female (years) (2014)",84.495
"Life Expectancy at Birth, female (years) (2015)",84.626
"Life Expectancy at Birth, female (years) (2016)",84.847
"Life Expectancy at Birth, female (years) (2017)",84.747
"Life Expectancy at Birth, female (years) (2018)",85.292
"Life Expectancy at Birth, female (years) (2019)",85.275
"Life Expectancy at Birth, female (years) (2020)",85.69
"Life Expectancy at Birth, female (years) (2021)",85.474
"Life Expectancy at Birth, female (years) (2022)",84.864
"Life Expectancy at Birth, female (years) (2023)",85.737
"Expected Years of Schooling, female (years) (1990)",17.38522549
"Expected Years of Schooling, female (years) (1991)",17.39148817
"Expected Years of Schooling, female (years) (1992)",17.39775311
"Expected Years of Schooling, female (years) (1993)",17.40402031
"Expected Years of Schooling, female (years) (1994)",17.41028976
"Expected Years of Schooling, female (years) (1995)",18.9718399
"Expected Years of Schooling, female (years) (1996)",19.55849075
"Expected Years of Schooling, female (years) (1997)",20.56314087
"Expected Years of Schooling, female (years) (1998)",20.73103862
"Expected Years of Schooling, female (years) (1999)",20.89893638
"Expected Years of Schooling, female (years) (2000)",21.06683413
"Expected Years of Schooling, female (years) (2001)",21.23473189
"Expected Years of Schooling, female (years) (2002)",21.40262964
"Expected Years of Schooling, female (years) (2003)",21.57052739
"Expected Years of Schooling, female (years) (2004)",21.73842515
"Expected Years of Schooling, female (years) (2005)",21.9063229
"Expected Years of Schooling, female (years) (2006)",22.07422066
"Expected Years of Schooling, female (years) (2007)",22.24211841
"Expected Years of Schooling, female (years) (2008)",22.41001617
"Expected Years of Schooling, female (years) (2009)",22.57791392
"Expected Years of Schooling, female (years) (2010)",22.74581167
"Expected Years of Schooling, female (years) (2011)",22.91370943
"Expected Years of Schooling, female (years) (2012)",23.08160718
"Expected Years of Schooling, female (years) (2013)",23.24950494
"Expected Years of Schooling, female (years) (2014)",23.41740269
"Expected Years of Schooling, female (years) (2015)",23.58530045
"Expected Years of Schooling, female (years) (2016)",23.20059013
"Expected Years of Schooling, female (years) (2017)",22.39792061
"Expected Years of Schooling, female (years) (2018)",21.00312996
"Expected Years of Schooling, female (years) (2019)",22.01021004
"Expected Years of Schooling, female (years) (2020)",21.73601913
"Expected Years of Schooling, female (years) (2021)",21.98143005
"Expected Years of Schooling, female (years) (2022)",21.4818306
"Expected Years of Schooling, female (years) (2023)",21.4818306
"Mean Years of Schooling, female (years) (1990)",10.9858441
"Mean Years of Schooling, female (years) (1991)",11.00574599
"Mean Years of Schooling, female (years) (1992)",11.02564788
"Mean Years of Schooling, female (years) (1993)",11.04554977
"Mean Years of Schooling, female (years) (1994)",11.06545166
"Mean Years of Schooling, female (years) (1995)",11.08535355
"Mean Years of Schooling, female (years) (1996)",11.08933393
"Mean Years of Schooling, female (years) (1997)",11.09331431
